Absolvent	Absolventen
Affe	Affen
Agent	Agenten
Architekt	Architekten
Assistent	Assistenten
Astronaut	Astronauten
Astronom	Astronomen
Autist	Autisten
Automat	Automaten
Bauer	Bauern
Biologe	Biologen
Bote	Boten
Brite	Briten
Buchstabe	Buchstaben
Bulgare	Bulgaren
Bär	Bären
Bürokrat	Bürokraten
Chinese	Chinesen
Christ	Christen
Demokrat	Demokraten
Demonstrant	Demonstranten
Despot	Despoten
Diamant	Diamanten
Diplomat	Diplomaten
Dirigent	Dirigenten
Doktorand	Doktoranden
Däne	Dänen
Egoist	Egoisten
Elefant	Elefanten
Emigrant	Emigranten
Erbe	Erben
Experte	Experten
Fels	Felsen
Finne	Finnen
Fotograf	Fotografen
Franzose	Franzosen
Friede	Frieden
Funke	Funken
Fürst	Fürsten
Gedanke	Gedanken
Glaube	Glauben
Graf	Grafen
Grieche	Griechen
Gynäkologe	Gynäkologen
Hase	Hasen
Held	Helden
Herr	Herrn
Idealist	Idealisten
Idiot	Idioten
Journalist	Journalisten
Jude	Juden
Junge	Jungen
Jurist	Juristen
Kamerad	Kameraden
Kandidat	Kandidaten
Kapitalist	Kapitalisten
Katholik	Katholiken
Kollege	Kollegen
Kommunist	Kommunisten
Konsonant	Konsonanten
Konsument	Konsumenten
Kunde	Kunden
Lieferant	Lieferanten
Löwe	Löwen
Matrose	Matrosen
Mensch	Menschen
Monarch	Monarchen
Musikant	Musikanten
Name	Namen
Narr	Narren
Neffe	Neffen
Philologe	Philologen
Philosoph	Philosophen
Pilot	Piloten
Polizist	Polizisten
Praktikant	Praktikanten
Prinz	Prinzen
Produzent	Produzenten
Präsident	Präsidenten
Pädagoge	Pädagogen
Rabe	Raben
Rebell	Rebellen
Same	Samen
Satellit	Satelliten
Schimpanse	Schimpansen
Schwede	Schweden
Soldat	Soldaten
Soldat	Soldaten
Sozialist	Sozialisten
Soziologe	Soziologen
Spezialist	Spezialisten
Student	Studenten
Terrorist	Terroristen
Tourist	Touristen
Türke	Türken
Wille	Willen
Zeuge	Zeugen
Ökonom	Ökonomen
