Aal	Aale
Aargau	—
Abbau	Abbaue
Abbruch	Abbrüche
Abdruck	Abdrücke
Abend	Abende
Abenteuerspielplatz	Abenteuerspielplätze
Abenteurer	Abenteurer
Abfahrer	Abfahrer
Abfall	Abfälle
Abflug	Abflüge
Abfluss	Abflüsse
Abgang	Abgänge
Abgeordnete	Abgeordneten
Abgesang	Abgesänge
Abgrund	Abgründe
Abiturient	Abiturienten
Ablauf	Abläufe
Ableger	Ableger
Abmarsch	Abmärsche
Abnehmer	Abnehmer
Abonnent	Abonnenten
Abruf	Abrufe
Absatz	Absätze
Absatzmarkt	Absatzmärkte
Abschaum	—
Abscheu	—
Abschiebestopp	Abschiebestopps
Abschied	Abschiede
Abschiedsbrief	Abschiedsbriefe
Abschlag	Abschläge
Abschluss	Abschlüsse
Abschlussball	Abschlussbälle
Abschlussbericht	Abschlussberichte
Abschnitt	Abschnitte
Abschuss	Abschüsse
Abschwung	Abschwünge
Absender	Absender
Absolvent	Absolventen
Absprung	Absprünge
Abstand	Abstanden
Abstecher	Abstecher
Absteiger	Absteiger
Abstellplatz	Abstellplätze
Abstieg	Abstiege
Abstiegskampf	Abstiegskämpfe
Abstiegskandidat	Abstiegskandidaten
Abstiegsplatz	Abstiegsplätze
Abstract	Abstracts
Abstrich	Abstriche
Absturz	Abstürze
Abt	Äbte
Abteilungsleiter	Abteilungsleiter
Abtransport	Abtransporte
Abwasserverband	Abwasserverbände
Abwehrchef	Abwehrchefs
Abwehrspieler	Abwehrspieler
Abweichler	Abweichler
Abwurf	Abwürfe
Abzug	Abzüge
Achter	Achter
Achtundsechziger	Achtundsechziger
Achtungserfolg	Achtungserfolge
Acker	Äcker	Acker
Ackerbau	—
Ackermann	Ackermänner
Actionfilm	Actionfilme
Adel	—
Aderlass	Aderlässe
Adler	Adler
Administrator	Administratoren
Admiral	Admirale
Adressat	Adressaten
Advent	Advente
Adventskalender	Adventskalender
Advokat	Advokaten
Affe	Affen
Affekt	Affekte
Affront	Affronts
Afghane	Afghanen
Afrikaner	Afrikaner
After	After
Agent	Agenten
Aggressor	Aggressoren
Agrarkommissar	Agrarkommissare
Agrarminister	Agrarminister
Ahn	Ahnen
Ahorn	Ahorne
Airbag	Airbags
Airbus	Airbusse
Ajatollah	Ajatollahs
Akademiker	Akademiker
Akkord	Akkorde
Akku	Akkus
Akrobat	Akrobaten
Akt	Akte
Aktenordner	Aktenordner
Akteur	Akteure
Aktienhandel	—
Aktienindex	Aktienindexe	Aktienindices	Aktienindizes
Aktienkurs	Aktienkurse
Aktienmarkt	Aktienmärkte
